t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
1.53360000e+05,2.279103479864998e+11,3.676531065087774e+09,2.281198741908530e+11,3.780530396848096e+09,-3.892002257520932e+02,2.412675353947163e+04,1.015293404089017e+03,2.476686862083387e+04,2.339168470202647e+08,7.739308299448460e+06
1.53540000e+05,2.279102778890832e+11,3.680873880058142e+09,2.281200569137122e+11,3.784988438148111e+09,-3.896599592718007e+02,2.412674611890863e+04,1.014960580128600e+03,2.476692357646281e+04,2.341945353478996e+08,7.738682850688033e+06
1.53720000e+05,2.279102077089145e+11,3.685216693692020e+09,2.281202395766365e+11,3.789446489325544e+09,-3.901196926500265e+02,2.412673868958544e+04,1.014627461205238e+03,2.476697837001931e+04,2.344722494614781e+08,7.738059370741001e+06
1.53900000e+05,2.279101374459938e+11,3.689559505987833e+09,2.281204221795728e+11,3.793904550351271e+09,-3.905794258866036e+02,2.412673125150206e+04,1.014294048333791e+03,2.476703300205165e+04,2.347499892585222e+08,7.737437853013424e+06
1.54080000e+05,2.279100671003211e+11,3.693902316944001e+09,2.281206047224687e+11,3.798362621196279e+09,-3.910391589813651e+02,2.412672380465851e+04,1.013960342524630e+03,2.476708747310396e+04,2.350277547774836e+08,7.736818291001378e+06
1.54260000e+05,2.279099966718965e+11,3.698245126558949e+09,2.281207872052712e+11,3.802820701831632e+09,-3.914988919341440e+02,2.412671634905477e+04,1.013626344783606e+03,2.476714178371824e+04,2.353055458204992e+08,7.736200678368009e+06
1.54440000e+05,2.279099261607200e+11,3.702587934831101e+09,2.281209696279280e+11,3.807278792228495e+09,-3.919586247447735e+02,2.412670888469085e+04,1.013292056112074e+03,2.476719593443405e+04,2.355833625000013e+08,7.735585008739027e+06
1.54620000e+05,2.279098555667916e+11,3.706930741758879e+09,2.281211519903866e+11,3.811736892358140e+09,-3.924183574130866e+02,2.412670141156676e+04,1.012957477506970e+03,2.476724992578844e+04,2.358612046054856e+08,7.734971275795841e+06
1.54800000e+05,2.279097848901113e+11,3.711273547340705e+09,2.281213342925951e+11,3.816195002191933e+09,-3.928780899389163e+02,2.412669392968250e+04,1.012622609960774e+03,2.476730375831593e+04,2.361390720939762e+08,7.734359473123654e+06
1.54980000e+05,2.279097141306792e+11,3.715616351575005e+09,2.281215165345015e+11,3.820653121701331e+09,-3.933378223220959e+02,2.412668643903807e+04,1.012287454461573e+03,2.476735743254858e+04,2.364169650314392e+08,7.733749594532085e+06
1.55160000e+05,2.279096432884952e+11,3.719959154460199e+09,2.281216987160542e+11,3.825111250857892e+09,-3.937975545624582e+02,2.412667893963346e+04,1.011952011993063e+03,2.476741094901601e+04,2.366948831843535e+08,7.733141633687343e+06
