i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
14,-3.020767782426778e+07,2.560155884041985e+07,-1.792516534732567e+02,-4.891190859604194e+00,2.258153303943629e+01,0,1.216800001093721e+05
15,-2.992403765690377e+07,2.531339311242767e+07,-1.826800244913611e+02,-4.897002242141298e+00,2.279684492949824e+01,0,1.216800001093721e+05
16,-2.964039748953975e+07,2.502531276016182e+07,-1.862048100760549e+02,-4.903958520928882e+00,2.301606503279587e+01,0,1.216800001093721e+05
17,-2.935675732217573e+07,2.473737911821365e+07,-1.898287445257629e+02,-4.912033713754226e+00,2.323925537683790e+01,0,1.216800001093721e+05
18,-2.907311715481171e+07,2.444955759490023e+07,-1.935559451529516e+02,-4.921258842092811e+00,2.346655483227839e+01,0,1.216800001093721e+05
19,-2.878947698744770e+07,2.416185247349365e+07,-1.973902090146730e+02,-4.931635774892584e+00,2.369807757941219e+01,0,1.216800001093721e+05
20,-2.850583682008368e+07,2.387426787557561e+07,-2.013355050387545e+02,-4.943184503589237e+00,2.393394081961675e+01,0,1.216800001093721e+05
21,-2.822219665271967e+07,2.358680827232150e+07,-2.051519802593866e+02,-4.691794748418943e+00,2.417331390682763e+01,0,1.215000001086806e+05
22,-2.793855648535565e+07,2.329947836007770e+07,-2.093325706889227e+02,-4.705707610833997e+00,2.441824049799049e+01,0,1.215000001086806e+05
23,-2.765491631799163e+07,2.301228275841360e+07,-2.136372719460924e+02,-4.720821239386623e+00,2.466788886001958e+01,0,1.215000001086806e+05
