i,b,d_min,delta_v,deflection_angle,collision,t
163,1.205470711297072e+07,7.675382380109398e+06,2.456627233646032e-01,5.361652835929232e+01,0,1.193400001003825e+05
164,1.233834728033473e+07,7.938235476498145e+06,2.572145607473431e-01,5.254574700656474e+01,0,1.195200001010740e+05
165,1.262198744769875e+07,8.202279669843344e+06,2.690394009250667e-01,5.151325029063472e+01,0,1.195200001010740e+05
166,1.290562761506277e+07,8.467450983818993e+06,2.811359617930975e-01,5.051753183406915e+01,0,1.195200001010740e+05
167,1.318926778242678e+07,8.733689675551677e+06,2.935031079723558e-01,4.955723797659476e+01,0,1.197000001017655e+05
168,1.347290794979080e+07,9.000939912489451e+06,3.061398514441862e-01,4.862980133787956e+01,0,1.197000001017655e+05
169,1.375654811715481e+07,9.269149476033028e+06,3.190452539811304e-01,4.773452224588218e+01,0,1.198800001024570e+05
170,1.404018828451883e+07,9.538269489919160e+06,3.322185013121270e-01,4.686898697056370e+01,0,1.198800001024570e+05
171,1.432382845188285e+07,9.808254170842193e+06,3.456588179010396e-01,4.603223098449521e+01,0,1.198800001024570e+05
172,1.460746861924686e+07,1.007906059981936e+07,3.593654859428170e-01,4.522341098008417e+01,0,1.200600001031485e+05
173,1.489110878661088e+07,1.035064851211428e+07,3.733378456859100e-01,4.444029725351716e+01,0,1.200600001031485e+05
174,1.517474895397490e+07,1.062298010447478e+07,3.875752515377826e-01,4.368269097337139e+01,0,1.202400001038401e+05
175,1.545838912133892e+07,1.089601985791435e+07,4.020771207256075e-01,4.294846347825583e+01,0,1.202400001038401e+05
176,1.574202928870293e+07,1.116973437477289e+07,4.168428604371002e-01,4.223705335615763e+01,0,1.202400001038401e+05
177,1.602566945606695e+07,1.144409222888034e+07,4.318719201019121e-01,4.154799741786833e+01,0,1.204200001045316e+05
178,1.630930962343097e+07,1.171906382762533e+07,4.471637699107305e-01,4.087928400782617e+01,0,1.204200001045316e+05
179,1.659294979079498e+07,1.199462128487790e+07,4.627178712617024e-01,4.023054452213941e+01,0,1.204200001045316e+05
180,1.687658995815900e+07,1.227073830400972e+07,4.785337123530553e-01,3.960149807915516e+01,0,1.206000001052231e+05
181,1.716023012552302e+07,1.254739006980665e+07,4.946107967612079e-01,3.899021967595593e+01,0,1.206000001052231e+05
182,1.744387029288703e+07,1.282455314890442e+07,5.109486151568490e-01,3.839650452442535e+01,0,1.206000001052231e+05
183,1.772751046025105e+07,1.310220539780393e+07,5.275466763891927e-01,3.782022695622400e+01,0,1.207800001059146e+05
184,1.801115062761507e+07,1.338032587779384e+07,5.444044978189595e-01,3.725952414221324e+01,0,1.207800001059146e+05
185,1.829479079497908e+07,1.365889477637137e+07,5.615215805987646e-01,3.671433151803684e+01,0,1.207800001059146e+05
186,1.857843096234310e+07,1.393789333449920e+07,5.788974441411483e-01,3.618465656953472e+01,0,1.209600001066061e+05
187,1.886207112970712e+07,1.421730377921227e+07,5.965316044907922e-01,3.566867892969680e+01,0,1.209600001066061e+05
188,1.914571129707113e+07,1.449710926128140e+07,6.144235757715251e-01,3.516645502771316e+01,0,1.209600001066061e+05
189,1.942935146443515e+07,1.477729379723192e+07,6.325728691899712e-01,3.467745643245053e+01,0,1.209600001066061e+05
190,1.971299163179917e+07,1.505784221566409e+07,6.509789958049623e-01,3.420184258938179e+01,0,1.211400001072976e+05
191,1.999663179916319e+07,1.533874010747983e+07,6.696414694724808e-01,3.373782198127548e+01,0,1.211400001072976e+05
192,2.028027196652720e+07,1.561997377938527e+07,6.885597982363834e-01,3.328559021191273e+01,0,1.211400001072976e+05
193,2.056391213389122e+07,1.590153021096309e+07,7.077334800692370e-01,3.284540291554769e+01,0,1.213200001079891e+05
194,2.084755230125523e+07,1.618339701448657e+07,7.271620272222208e-01,3.241547857078645e+01,0,1.213200001079891e+05
195,2.113119246861925e+07,1.646556239761870e+07,7.468449356674682e-01,3.199610144105943e+01,0,1.213200001079891e+05
196,2.141483263598327e+07,1.674801512863109e+07,7.667816993698580e-01,3.158689542952302e+01,0,1.213200001079891e+05
197,2.169847280334729e+07,1.703074450401221e+07,7.869718080009989e-01,3.118822909830186e+01,0,1.215000001086806e+05
198,2.198211297071130e+07,1.731374031822658e+07,8.074147578608972e-01,3.079831571719235e+01,0,1.215000001086806e+05
199,2.226575313807532e+07,1.759699283536329e+07,8.281100232593417e-01,3.041754448827340e+01,0,1.215000001086806e+05
200,2.254939330543933e+07,1.788049276296138e+07,8.490570890226081e-01,3.004560258955707e+01,0,1.215000001086806e+05
201,2.283303347280335e+07,1.816423122718986e+07,8.702554355772918e-01,2.968219095262356e+01,0,1.215000001086806e+05
202,2.311667364016737e+07,1.844819974984630e+07,8.917045232751661e-01,2.932779940749064e+01,0,1.216800001093721e+05
203,2.340031380753139e+07,1.873239022675329e+07,9.134038292245350e-01,2.898061341923485e+01,0,1.216800001093721e+05
204,2.368395397489540e+07,1.901679490767681e+07,9.353528138371985e-01,2.864113596861403e+01,0,1.216800001093721e+05
